ticket_id,classification,reproducible,severity,priority,escalation,status,notes
SUP-001,Product defect,Yes,High,P1,ENG-BUG,Open,"Reproduced after password reset; account access blocked"
SUP-002,Product defect,Yes,Critical,P0,BILLING + ENG-BUG,Open,"Payment retry path can create duplicate successful charge"
SUP-003,Product defect,Yes,Medium,P2,ENG-BUG,Open,"Save CTA outside 360px viewport"
SUP-004,Product defect,Yes,Critical,P0,SECURITY + ENG-BUG,Open,"Direct URL bypasses role-based UI restriction"
SUP-005,Product defect,Yes,Medium,P2,ENG-BUG,Open,"CSV ignores pt-BR workspace date format"
SUP-006,User/configuration issue,No,None,P3,SUPPORT,Resolved,"Provider spam filtering; resend plus allowlist guidance"
SUP-007,Feature request,N/A,None,P3,PRODUCT,Logged,"Automatic system-theme detection not currently supported"
SUP-008,Service incident,Yes,High,P0,INCIDENT,Resolved,"Shared API latency spike; linked to incident timeline"
SUP-009,Product defect,Yes,Medium,P2,ENG-BUG,Open,"Activity feed renders UTC instead of workspace timezone"
SUP-010,User/configuration issue,Yes,None,P3,SUPPORT,Resolved,"Content blocker prevented modal script from running"
SUP-011,Feature request,N/A,None,P2,PRODUCT,Logged,"Okta SAML requested for enterprise rollout"
SUP-012,Product defect,Yes,High,P1,ENG-BUG + BILLING,Open,"Specific generated invoice triggers server error"
SUP-013,Unable to reproduce,No,None,P3,SUPPORT,Pending evidence,"Could not reproduce persistent result after index refresh; need timestamp/project ID"
SUP-014,User/configuration issue,Yes,None,P3,SUPPORT,Resolved,"TOTP failure caused by device clock drift"
SUP-015,Product defect,Yes,Medium,P2,ENG-BUG,Open,"PDF upload stalls consistently above ~40 MB while under documented limit"
SUP-016,Feature request,N/A,None,P3,PRODUCT,Logged,"No global create-ticket shortcut in current product"
SUP-017,User/configuration issue,Yes,None,P3,SUPPORT,Resolved,"Organization policy intentionally overwrites member preference"
SUP-018,Unable to reproduce,No,None,P3,SUPPORT,Pending evidence,"Intermittent blank page not reproduced; request ID/browser console needed"
SUP-019,Service incident,Yes,High,P0,INCIDENT,Resolved,"503s traced to shared dependency outage"
SUP-020,Product defect,Yes,Low,P3,ENG-BUG,Backlog,"Low-resolution thumbnail selection on high-DPI display"
